epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,0.261835923605495,0.8875555555555555,0.08389478069543839,0.972,102.69594700000016
2,0.07329651591430107,0.974,0.05377204684913158,0.984,90.54624590000003
3,0.04401709047042661,0.9853333333333333,0.07708425025641918,0.971,91.04692389999946
4,0.026520915571082798,0.9922222222222222,0.06130546281207353,0.975,90.8608976000005
5,0.021715266840325462,0.9937777777777778,0.0660226356163621,0.977,91.29803390000052
6,0.02134686970979803,0.9937777777777778,0.046607244473532775,0.985,91.32214150000073
7,0.014914331754876508,0.9953333333333333,0.06053259917907417,0.982,91.19684089999919
8,0.024723495582222112,0.9917777777777778,0.05152239653654397,0.982,91.4525665000001
9,0.00872132264657153,0.9993333333333333,0.040155089577659966,0.983,91.36815320000005
10,0.010069672234615103,0.996,0.06684545081015676,0.981,91.7814526000002
11,0.012406976203485909,0.9957777777777778,0.04940190703002736,0.983,91.04988539999977
