epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.2939555717176861,0.8724444444444445,0.08596782612800598,0.967,192.5870642000009,0.0001
2,0.16187731526295343,0.9384444444444444,0.19611703551933168,0.92,176.23319430000083,9.96057350657239e-05
3,0.12243171078132259,0.9522222222222222,0.11145736937597393,0.956,176.95952410000064,9.842915805643155e-05
4,0.09511440072912308,0.9651111111111111,0.11348537958599628,0.964,180.17728290000014,9.648882429441257e-05
5,0.09813836596326696,0.968,0.09732627343386412,0.963,178.55539390000013,9.381533400219318e-05
6,0.06507560150904788,0.976,0.14787534942664207,0.956,200.61454360000062,9.045084971874738e-05
7,0.06332341100120296,0.9804444444444445,0.09004000013694168,0.972,208.57379949999813,8.644843137107059e-05
8,0.043859541514008824,0.9855555555555555,0.14929154823475982,0.964,212.81206329999986,8.18711994874345e-05
9,0.0469983004687949,0.986,0.13304461467225337,0.972,216.99830649999785,7.679133974894983e-05
10,0.04300310293173728,0.9897777777777778,0.14013800728908973,0.964,210.53105209999921,7.128896457825363e-05
11,0.03940230330553216,0.99,0.1116487103070831,0.974,211.84929580000244,6.545084971874737e-05
12,0.02320081945262953,0.9928888888888889,0.13673175135656493,0.972,210.9276377999995,5.936906572928624e-05
13,0.012802639571024985,0.9962222222222222,0.14985546834909474,0.974,204.90955249999752,5.313952597646568e-05
14,0.0176335018743735,0.996,0.13104769452827894,0.969,208.14999199999875,4.6860474023534335e-05
15,0.015194724966669229,0.9957777777777778,0.22123838548894856,0.961,203.47952440000154,4.0630934270713774e-05
16,0.01312324441497266,0.9962222222222222,0.15754727897344856,0.974,208.58937460000016,3.454915028125265e-05
17,0.00853989729405536,0.9968888888888889,0.1822473609160188,0.973,205.7339959000019,2.871103542174637e-05
