epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.6416284601953295,0.5944444444444444,0.5858998742103577,0.738,107.1475231000004,1e-05
2,0.4651799061033461,0.7015555555555556,0.32305931520462033,0.937,96.24913659999947,3.9999999999999996e-05
3,0.3936333838701248,0.7426666666666667,0.29111011886596677,0.949,95.87570520000008,7e-05
4,0.35251354744699265,0.7395555555555555,0.2596620759963989,0.969,96.17625989999942,0.0001
5,0.33135696486632027,0.7593333333333333,0.24687960147857665,0.98,96.35270060000039,9.949107209404665e-05
6,0.3080706671608819,0.7373333333333333,0.2332736361026764,0.981,96.38116649999938,9.797464868072488e-05
7,0.3055068275398678,0.7591111111111111,0.2320033061504364,0.987,95.86444870000196,9.548159976772592e-05
8,0.3179614683787028,0.7513333333333333,0.23471161246299743,0.986,96.56226679999963,9.206267664155907e-05
9,0.31661834314134385,0.7771111111111111,0.2318311059474945,0.986,95.63740379999945,8.778747871771291e-05
10,0.3043044005499946,0.7424444444444445,0.23082613801956176,0.984,95.5616818999988,8.274303669726426e-05
11,0.3136078411075804,0.7688888888888888,0.23328753566741944,0.979,95.62640470000042,7.703204087277988e-05
12,0.28951274179087744,0.7626666666666667,0.23800375580787658,0.981,96.19674039999882,7.077075065009433e-05
13,0.2923384494781494,0.7711111111111111,0.24323236656188965,0.979,95.76291349999883,6.408662784207149e-05
