epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.6488617356088426,0.5837777777777777,0.5973474760055542,0.72,122.67526169999837,1e-05
2,0.45697210682762995,0.6795555555555556,0.34448144364357,0.936,96.40974579999965,3.9999999999999996e-05
3,0.3656982892751694,0.7055555555555556,0.27843083238601685,0.965,96.54914740000095,7e-05
4,0.3361479276551141,0.7491111111111111,0.24416219425201416,0.976,96.63371199999892,0.0001
5,0.3509115014076233,0.7573333333333333,0.25352749347686765,0.98,96.60192290000123,9.949107209404665e-05
6,0.32825207561916775,0.7346666666666667,0.2442102382183075,0.985,96.23189289999937,9.797464868072488e-05
7,0.3261571648783154,0.7386666666666667,0.23140811038017273,0.989,96.46552009999868,9.548159976772592e-05
8,0.30723441971672905,0.7517777777777778,0.24292543339729308,0.984,97.21447449999687,9.206267664155907e-05
9,0.31402154260211523,0.7146666666666667,0.24147750449180602,0.988,96.50246850000258,8.778747871771291e-05
10,0.3011154074403975,0.7113333333333334,0.24394156646728515,0.981,96.02771199999916,8.274303669726426e-05
11,0.3045251884460449,0.7837777777777778,0.24456307506561278,0.988,96.10467760000029,7.703204087277988e-05
12,0.3110778258641561,0.764,0.22154622769355775,0.989,96.91350440000315,7.077075065009433e-05
13,0.3097863156000773,0.7555555555555555,0.23083514547348022,0.988,96.07053070000256,6.408662784207149e-05
