model,level,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
mobilenetv3,3,1,0.670054808,0.546222222,0.637628731,0.695,106.1566425,1.00E-05
mobilenetv3,3,2,0.572995353,0.665777778,0.509222217,0.795,93.5459892,4.00E-05
mobilenetv3,3,3,0.505104345,0.653777778,0.426501339,0.862,93.4748926,7.00E-05
mobilenetv3,3,4,0.471828467,0.690222222,0.373144911,0.898,166.6953474,0.0001
mobilenetv3,3,5,0.44405014,0.684444444,0.341043658,0.927,96.1967595,9.95E-05
mobilenetv3,3,6,0.422452693,0.691555556,0.337110805,0.926,99.5097495,9.80E-05
mobilenetv3,3,7,0.41227128,0.694,0.315788724,0.943,97.8408753,9.55E-05
mobilenetv3,3,8,0.413189234,0.71,0.311848077,0.945,96.9013546,9.21E-05
mobilenetv3,3,9,0.395999887,0.720444444,0.303670578,0.952,126.4232394,8.78E-05
mobilenetv3,3,10,0.396089813,0.718444444,0.310420146,0.949,105.0795577,8.27E-05
mobilenetv3,3,11,0.37406454,0.702,0.295758189,0.959,109.5270016,7.70E-05
mobilenetv3,3,12,0.386170651,0.770222222,0.306811313,0.953,107.6725281,7.08E-05
mobilenetv3,3,13,0.375818519,0.746444444,0.289690623,0.964,106.6568103,6.41E-05
mobilenetv3,3,14,0.347791133,0.736444444,0.288904493,0.965,112.8317624,5.71E-05
mobilenetv3,3,15,0.376389771,0.716666667,0.284019518,0.968,107.2976781,5.00E-05
mobilenetv3,3,16,0.35781732,0.751555556,0.282353684,0.966,106.8327248,4.29E-05
mobilenetv3,3,17,0.363337464,0.724222222,0.281404356,0.966,104.3594103,3.59E-05
mobilenetv3,3,18,0.361478441,0.720888889,0.285467797,0.967,110.1299728,2.92E-05
mobilenetv3,3,19,0.376152769,0.734666667,0.288550975,0.966,105.9235561,2.30E-05
mobilenetv3,3,20,0.371091396,0.727555556,0.282985396,0.971,106.1683635,1.73E-05
mobilenetv3,3,21,0.363342043,0.744222222,0.280098761,0.971,109.9274361,1.22E-05
mobilenetv3,3,22,0.362676852,0.731555556,0.280927231,0.972,109.4717714,7.94E-06
mobilenetv3,3,23,0.362741268,0.729777778,0.280522793,0.971,102.4560145,4.52E-06
mobilenetv3,3,24,0.369615624,0.741333333,0.280958038,0.971,98.7598039,2.03E-06
mobilenetv3,3,25,0.364797327,0.741111111,0.280842547,0.971,100.9086217,5.09E-07
resnet50,3,1,0.685148749,0.533111111,0.675834915,0.598,115.6433074,1.00E-05
resnet50,3,2,0.634661573,0.618,0.60513309,0.71,111.9065016,4.00E-05
resnet50,3,3,0.542486933,0.639777778,0.489845334,0.823,105.8187761,7.00E-05
resnet50,3,4,0.457086762,0.706666667,0.389781825,0.902,108.091303,0.0001
resnet50,3,5,0.439074146,0.711333333,0.385240309,0.894,110.6146598,9.95E-05
resnet50,3,6,0.405591001,0.699333333,0.360108191,0.914,106.1808995,9.80E-05
resnet50,3,7,0.394951908,0.717333333,0.319624583,0.948,106.2712222,9.55E-05
resnet50,3,8,0.373018148,0.722666667,0.313379378,0.95,110.6413853,9.21E-05
resnet50,3,9,0.367129699,0.691111111,0.319154867,0.945,109.575508,8.78E-05
resnet50,3,10,0.353280597,0.700666667,0.292787986,0.961,99.3219632,8.27E-05
resnet50,3,11,0.35332193,0.766888889,0.320318484,0.944,98.4826472,7.70E-05
resnet50,3,12,0.363581923,0.742,0.272560365,0.965,103.7876954,7.08E-05
resnet50,3,13,0.355410646,0.740666667,0.282154687,0.959,101.8060634,6.41E-05
resnet50,3,14,0.349891519,0.736222222,0.270335298,0.97,99.7523476,5.71E-05
resnet50,3,15,0.349442899,0.723777778,0.290754291,0.96,99.2862267,5.00E-05
resnet50,3,16,0.340726485,0.725111111,0.274990009,0.97,98.5000623,4.29E-05
resnet50,3,17,0.336839872,0.709111111,0.26455316,0.967,99.5362899,3.59E-05
resnet50,3,18,0.320319345,0.756222222,0.286102233,0.963,99.5460206,2.92E-05
resnet50,3,19,0.321408493,0.726222222,0.261251487,0.967,104.7034928,2.30E-05
resnet50,3,20,0.318065497,0.746222222,0.260604198,0.971,110.3801548,1.73E-05
resnet50,3,21,0.334487406,0.758222222,0.266441133,0.969,113.8500889,1.22E-05
resnet50,3,22,0.333695831,0.770444444,0.266380558,0.967,117.4108304,7.94E-06
resnet50,3,23,0.322190323,0.747333333,0.253828644,0.978,112.7700489,4.52E-06
resnet50,3,24,0.330817465,0.750444444,0.275675643,0.973,109.7366918,2.03E-06
resnet50,3,25,0.332278439,0.740222222,0.279393539,0.958,109.617532,5.09E-07
efficientnetv2,3,1,0.685205753,0.532222222,0.677608387,0.588,126.6118937,1.00E-05
efficientnetv2,3,2,0.64052145,0.600222222,0.609808313,0.724,112.0290598,4.00E-05
efficientnetv2,3,3,0.568729078,0.660222222,0.518739991,0.785,126.4658369,7.00E-05
efficientnetv2,3,4,0.490985185,0.681333333,0.425028507,0.861,131.5199628,0.0001
efficientnetv2,3,5,0.448135363,0.711555556,0.370112803,0.901,134.4414313,9.95E-05
efficientnetv2,3,6,0.417327128,0.698666667,0.338329791,0.927,136.2426703,9.80E-05
efficientnetv2,3,7,0.399130629,0.720444444,0.33154894,0.924,126.5860211,9.55E-05
efficientnetv2,3,8,0.403485134,0.717555556,0.318568229,0.941,117.4436286,9.21E-05
efficientnetv2,3,9,0.396589159,0.737555556,0.30038528,0.955,119.8755549,8.78E-05
efficientnetv2,3,10,0.378747342,0.714222222,0.298201267,0.952,132.5027788,8.27E-05
efficientnetv2,3,11,0.384529866,0.739333333,0.30213813,0.944,135.196317,7.70E-05
efficientnetv2,3,12,0.351508557,0.738,0.287034249,0.954,124.0559246,7.08E-05
efficientnetv2,3,13,0.357774215,0.754444444,0.302101672,0.94,120.5588317,6.41E-05
efficientnetv2,3,14,0.353595418,0.731777778,0.277809911,0.958,109.6313968,5.71E-05
efficientnetv2,3,15,0.355246944,0.747777778,0.294977428,0.949,122.4592334,5.00E-05
efficientnetv2,3,16,0.33359711,0.738444444,0.26850343,0.967,117.7423697,4.29E-05
efficientnetv2,3,17,0.351515243,0.748666667,0.287461362,0.957,124.1218974,3.59E-05
efficientnetv2,3,18,0.35395298,0.736,0.281357273,0.958,115.1486614,2.92E-05
efficientnetv2,3,19,0.336421979,0.749555556,0.274915522,0.959,116.733625,2.30E-05
efficientnetv2,3,20,0.33886826,0.720666667,0.292879091,0.949,121.4048832,1.73E-05
efficientnetv2,3,21,0.351367599,0.755111111,0.290214149,0.953,125.3060815,1.22E-05
efficientnetv2,3,22,0.353133669,0.752222222,0.296776735,0.951,121.885485,7.94E-06
vit,3,1,0.657084555,0.568444444,0.570040857,0.757,197.1358776,1.00E-05
vit,3,2,0.46925321,0.674,0.33709184,0.926,175.530764,4.00E-05
vit,3,3,0.378984772,0.728,0.277593102,0.967,175.027137,7.00E-05
vit,3,4,0.351975207,0.754888889,0.250699747,0.972,174.7686285,0.0001
vit,3,5,0.327341974,0.743111111,0.241783747,0.977,174.472223,9.95E-05
vit,3,6,0.326459603,0.735777778,0.247917319,0.969,177.2421586,9.80E-05
vit,3,7,0.303147633,0.728,0.287250175,0.947,175.5466408,9.55E-05
vit,3,8,0.304313503,0.774444444,0.241360375,0.973,175.3290013,9.21E-05
vit,3,9,0.329327052,0.753333333,0.232768491,0.979,175.3466552,8.78E-05
vit,3,10,0.30166116,0.752666667,0.287888531,0.952,175.4581359,8.27E-05
vit,3,11,0.297619132,0.766,0.224366176,0.988,175.1030818,7.70E-05
vit,3,12,0.292575782,0.740888889,0.232889015,0.982,175.3539132,7.08E-05
vit,3,13,0.306037049,0.766444444,0.227922832,0.985,175.2010013,6.41E-05
vit,3,14,0.305690116,0.786,0.251482351,0.971,175.5122257,5.71E-05
vit,3,15,0.296267128,0.767333333,0.23209026,0.981,175.3360947,5.00E-05
vit,3,16,0.293555007,0.758222222,0.231466602,0.982,175.4384934,4.29E-05
vit,3,17,0.292201602,0.771111111,0.230918081,0.982,174.5653986,3.59E-05
