model,condition,number_of_images,confusion_matrix,accuracy,precision,recall,f1_score,roc_auc,total_inference_time_seconds,inference_latency_ms_per_image,throughput_images_per_second,peak_gpu_vram_mb_inference,baseline_ram_mb_inference,peak_ram_mb_inference,peak_ram_delta_mb_inference,level
mobilenetv3,in_domain,1000,"[[488, 12], [6, 494]]",0.982,0.976284585,0.988,0.982107356,0.997408,3.7090451,3.7090451,269.611173,263.2124023,1159.769531,1224.746094,64.9765625,Baseline
mobilenetv3,cross_generator,1000,"[[69, 431], [2, 498]]",0.567,0.53606028,0.996,0.696990903,0.844766,2.4320335,2.4320335,411.1785467,263.2124023,1218.207031,1236.613281,18.40625,Baseline
resnet50,in_domain,1000,"[[493, 7], [7, 493]]",0.986,0.986,0.986,0.986,0.997986,3.17144,3.17144,315.314179,435.4301758,1255.242188,1272.945313,17.703125,Baseline
resnet50,cross_generator,1000,"[[138, 362], [5, 495]]",0.633,0.577596266,0.99,0.729550479,0.88133,4.0272023,4.0272023,248.3113401,435.4301758,1310.066406,1325.222656,15.15625,Baseline
efficientnetv2,in_domain,1000,"[[490, 10], [4, 496]]",0.986,0.980237154,0.992,0.986083499,0.998616,3.3638763,3.3638763,297.2760919,308.5625,1324.25,1342.054688,17.8046875,Baseline
efficientnetv2,cross_generator,1000,"[[103, 397], [4, 496]]",0.599,0.555431131,0.992,0.712132089,0.89992,3.3324322,3.3324322,300.0811239,308.5625,1307.773438,1320.828125,13.0546875,Baseline
vit,in_domain,1000,"[[486, 14], [26, 474]]",0.96,0.971311475,0.948,0.95951417,0.99558,11.6040416,11.6040416,86.17687134,594.1484375,1276.097656,1294.882813,18.78515625,Baseline
vit,cross_generator,1000,"[[132, 368], [26, 474]]",0.606,0.562945368,0.948,0.706408346,0.791424,11.5833966,11.5833966,86.33046373,594.1484375,1554.199219,1572.390625,18.19140625,Baseline
mobilenetv3,in_domain,1000,"[[491, 9], [16, 484]]",0.975,0.981744422,0.968,0.974823766,0.997112,2.4902523,2.4902523,401.5657369,263.2124023,1159.640625,1219.230469,59.58984375,Level 1
mobilenetv3,cross_generator,1000,"[[118, 382], [6, 494]]",0.612,0.563926941,0.988,0.718023256,0.839896,2.0627294,2.0627294,484.7945639,263.2124023,1219.03125,1236.894531,17.86328125,Level 1
resnet50,in_domain,1000,"[[494, 6], [20, 480]]",0.974,0.987654321,0.96,0.973630832,0.997688,3.2243835,3.2243835,310.136806,435.4301758,1238.589844,1256.773438,18.18359375,Level 1
resnet50,cross_generator,1000,"[[266, 234], [8, 492]]",0.758,0.67768595,0.984,0.802610114,0.907428,3.1850499,3.1850499,313.9668236,435.4301758,1310.367188,1322.613281,12.24609375,Level 1
efficientnetv2,in_domain,1000,"[[496, 4], [6, 494]]",0.99,0.991967871,0.988,0.98997996,0.998388,3.373995,3.373995,296.384553,308.5625,1349.015625,1363.464844,14.44921875,Level 1
efficientnetv2,cross_generator,1000,"[[83, 417], [4, 496]]",0.579,0.543263965,0.992,0.702052371,0.882384,3.3502975,3.3502975,298.4809558,308.5625,1314.457031,1332.863281,18.40625,Level 1
vit,in_domain,1000,"[[483, 17], [13, 487]]",0.97,0.966269841,0.974,0.970119522,0.995704,11.6485972,11.6485972,85.84724691,594.1484375,1525.351563,1544.101563,18.75,Level 1
vit,cross_generator,1000,"[[151, 349], [8, 492]]",0.643,0.585017836,0.984,0.733780761,0.867942,11.6547379,11.6547379,85.80201533,594.1484375,1518.574219,1536.324219,17.75,Level 1
mobilenetv3,in_domain,1000,"[[492, 8], [12, 488]]",0.98,0.983870968,0.976,0.979919679,0.997484,2.3449749,2.3449749,426.4437969,263.2124023,1159.367188,1224.6875,65.3203125,Level 2
mobilenetv3,cross_generator,1000,"[[171, 329], [9, 491]]",0.662,0.598780488,0.982,0.743939394,0.81578,2.6386872,2.6386872,378.9763334,263.2124023,1223.453125,1240.492188,17.0390625,Level 2
resnet50,in_domain,1000,"[[493, 7], [4, 496]]",0.989,0.986083499,0.992,0.989032901,0.998904,3.2535437,3.2535437,307.3571749,435.4301758,1247.445313,1260.601563,13.15625,Level 2
resnet50,cross_generator,1000,"[[145, 355], [5, 495]]",0.64,0.582352941,0.99,0.733333333,0.850604,4.3713308,4.3713308,228.7632865,435.4301758,1250.585938,1267.308594,16.72265625,Level 2
efficientnetv2,in_domain,1000,"[[490, 10], [7, 493]]",0.983,0.980119284,0.986,0.983050847,0.998708,3.4155931,3.4155931,292.774921,308.5625,1326.851563,1345.28125,18.4296875,Level 2
efficientnetv2,cross_generator,1000,"[[120, 380], [7, 493]]",0.613,0.564719359,0.986,0.71813547,0.730492,3.2837436,3.2837436,304.5304755,308.5625,1310.132813,1327.679688,17.546875,Level 2
vit,in_domain,1000,"[[488, 12], [14, 486]]",0.974,0.975903614,0.972,0.973947896,0.994584,11.4113074,11.4113074,87.63237769,594.1484375,1537.429688,1554.578125,17.1484375,Level 2
vit,cross_generator,1000,"[[193, 307], [6, 494]]",0.687,0.616729089,0.988,0.759415834,0.872776,11.6312677,11.6312677,85.97515127,594.1484375,1528.371094,1544.976563,16.60546875,Level 2
mobilenetv3,in_domain,1000,"[[490, 10], [30, 470]]",0.96,0.979166667,0.94,0.959183673,0.992132,2.0317236,2.0317236,492.1929341,263.2124023,1159.003906,1225.15625,66.15234375,Level 3
mobilenetv3,cross_generator,1000,"[[302, 198], [24, 476]]",0.778,0.706231454,0.952,0.810902896,0.914388,1.5470317,1.5470317,646.3991656,263.2124023,1222.992188,1240.585938,17.59375,Level 3
resnet50,in_domain,1000,"[[493, 7], [24, 476]]",0.969,0.985507246,0.952,0.968463886,0.996292,3.2099837,3.2099837,311.5280617,435.4301758,1246.480469,1262.53125,16.05078125,Level 3
resnet50,cross_generator,1000,"[[288, 212], [20, 480]]",0.768,0.693641618,0.96,0.805369128,0.913432,3.2447508,3.2447508,308.1900773,435.4301758,1309.078125,1327.222656,18.14453125,Level 3
efficientnetv2,in_domain,1000,"[[494, 6], [24, 476]]",0.97,0.987551867,0.952,0.969450102,0.997008,3.3573985,3.3573985,297.8496595,308.5625,1348.5,1365.347656,16.84765625,Level 3
efficientnetv2,cross_generator,1000,"[[252, 248], [20, 480]]",0.732,0.659340659,0.96,0.781758958,0.883836,3.3458584,3.3458584,298.8769638,308.5625,1350.039063,1363.734375,13.6953125,Level 3
vit,in_domain,1000,"[[493, 7], [10, 490]]",0.983,0.985915493,0.98,0.982948847,0.997432,11.4358944,11.4358944,87.4439694,594.1484375,1506.703125,1523.542969,16.83984375,Level 3
vit,cross_generator,1000,"[[214, 286], [8, 492]]",0.706,0.632390746,0.984,0.769953052,0.697048,11.5993709,11.5993709,86.21157204,594.1484375,1526.019531,1544.199219,18.1796875,Level 3
mobilenetv3,in_domain,1000,"[[489, 11], [27, 473]]",0.962,0.9772727272727272,0.946,0.9613821138211384,0.994984,2.132836999990104,2.132836999990104,468.8590829982037,263.21240234375,1160.8203125,1220.1875,59.3671875,Level 4
mobilenetv3,cross_generator,1000,"[[310, 190], [23, 477]]",0.787,0.7151424287856072,0.954,0.8174807197943444,0.923388,2.345106599997962,2.345106599997962,426.4198480362765,263.21240234375,1219.96484375,1237.3046875,17.33984375,Level 4
resnet50,in_domain,1000,"[[489, 11], [8, 492]]",0.981,0.978131212723658,0.984,0.9810568295114656,0.99758,3.031533600020339,3.031533600020339,329.8660453551598,435.43017578125,1310.81640625,1326.9765625,16.16015625,Level 4
resnet50,cross_generator,1000,"[[212, 288], [6, 494]]",0.706,0.6317135549872123,0.988,0.7706708268330733,0.922212,3.1924247000351897,3.1924247000351897,313.2415307991374,435.43017578125,1321.33203125,1336.33203125,15.0,Level 4
efficientnetv2,in_domain,1000,"[[492, 8], [13, 487]]",0.979,0.9838383838383838,0.974,0.978894472361809,0.997876,3.255483600019943,3.255483600019943,307.1740247728092,308.5625,1353.91796875,1368.85546875,14.9375,Level 4
efficientnetv2,cross_generator,1000,"[[216, 284], [10, 490]]",0.706,0.6330749354005168,0.98,0.7692307692307693,0.883464,3.266895599976124,3.266895599976124,306.10099692420795,308.5625,1317.0625,1333.0,15.9375,Level 4
vit,in_domain,1000,"[[493, 7], [5, 495]]",0.988,0.9860557768924304,0.99,0.9880239520958084,0.998828,11.45464180001727,11.45464180001727,87.30085300428095,594.1484375,1526.60546875,1545.1875,18.58203125,Level 4
vit,cross_generator,1000,"[[170, 330], [4, 496]]",0.666,0.6004842615012107,0.992,0.7481146304675717,0.823892,11.656618699998944,11.656618699998944,85.78817114435515,594.1484375,1547.2578125,1565.66796875,18.41015625,Level 4
