model,level,condition,number_of_images,accuracy_percent,precision_percent,recall_percent,f1_score_percent,roc_auc_percent
mobilenetv3,Level 4,cross_generator,1000,78.7,71.51424287856072,95.39999999999999,81.74807197943444,92.33879999999999
mobilenetv3,Level 3,cross_generator,1000,77.8,70.6231454,95.19999999999999,81.0902896,91.4388
resnet50,Level 3,cross_generator,1000,76.8,69.3641618,96.0,80.53691280000001,91.3432
resnet50,Level 1,cross_generator,1000,75.8,67.768595,98.4,80.2610114,90.7428
efficientnetv2,Level 3,cross_generator,1000,73.2,65.93406590000001,96.0,78.17589579999999,88.3836
resnet50,Level 4,cross_generator,1000,70.6,63.171355498721226,98.8,77.06708268330733,92.22120000000001
vit,Level 3,cross_generator,1000,70.6,63.2390746,98.4,76.99530519999999,69.7048
efficientnetv2,Level 4,cross_generator,1000,70.6,63.30749354005169,98.0,76.92307692307693,88.3464
vit,Level 2,cross_generator,1000,68.7,61.6729089,98.8,75.9415834,87.2776
vit,Level 4,cross_generator,1000,66.60000000000001,60.048426150121074,99.2,74.81146304675717,82.3892
mobilenetv3,Level 2,cross_generator,1000,66.2,59.8780488,98.2,74.3939394,81.57799999999999
vit,Level 1,cross_generator,1000,64.3,58.5017836,98.4,73.3780761,86.7942
resnet50,Level 2,cross_generator,1000,64.0,58.235294100000004,99.0,73.3333333,85.0604
resnet50,Baseline,cross_generator,1000,63.3,57.759626600000004,99.0,72.9550479,88.133
efficientnetv2,Level 2,cross_generator,1000,61.3,56.471935900000005,98.6,71.813547,73.0492
mobilenetv3,Level 1,cross_generator,1000,61.199999999999996,56.39269409999999,98.8,71.8023256,83.9896
efficientnetv2,Baseline,cross_generator,1000,59.9,55.5431131,99.2,71.2132089,89.992
vit,Baseline,cross_generator,1000,60.6,56.294536799999996,94.8,70.6408346,79.1424
efficientnetv2,Level 1,cross_generator,1000,57.9,54.326396499999994,99.2,70.20523709999999,88.2384
mobilenetv3,Baseline,cross_generator,1000,56.699999999999996,53.606027999999995,99.6,69.6990903,84.4766
