model,level,condition,number_of_images,total_inference_time_seconds,inference_latency_ms_per_image,throughput_images_per_second,peak_gpu_vram_mb_inference,baseline_ram_mb_inference,peak_ram_mb_inference,peak_ram_delta_mb_inference
mobilenetv3,Baseline,in_domain,1000,3.7090451,3.7090451,269.611173,263.2124023,1159.769531,1224.746094,64.9765625
mobilenetv3,Baseline,cross_generator,1000,2.4320335,2.4320335,411.1785467,263.2124023,1218.207031,1236.613281,18.40625
resnet50,Baseline,in_domain,1000,3.17144,3.17144,315.314179,435.4301758,1255.242188,1272.945313,17.703125
resnet50,Baseline,cross_generator,1000,4.0272023,4.0272023,248.3113401,435.4301758,1310.066406,1325.222656,15.15625
efficientnetv2,Baseline,in_domain,1000,3.3638763,3.3638763,297.2760919,308.5625,1324.25,1342.054688,17.8046875
efficientnetv2,Baseline,cross_generator,1000,3.3324322,3.3324322,300.0811239,308.5625,1307.773438,1320.828125,13.0546875
vit,Baseline,in_domain,1000,11.6040416,11.6040416,86.17687134,594.1484375,1276.097656,1294.882813,18.78515625
vit,Baseline,cross_generator,1000,11.5833966,11.5833966,86.33046373,594.1484375,1554.199219,1572.390625,18.19140625
mobilenetv3,Level 1,in_domain,1000,2.4902523,2.4902523,401.5657369,263.2124023,1159.640625,1219.230469,59.58984375
mobilenetv3,Level 1,cross_generator,1000,2.0627294,2.0627294,484.7945639,263.2124023,1219.03125,1236.894531,17.86328125
resnet50,Level 1,in_domain,1000,3.2243835,3.2243835,310.136806,435.4301758,1238.589844,1256.773438,18.18359375
resnet50,Level 1,cross_generator,1000,3.1850499,3.1850499,313.9668236,435.4301758,1310.367188,1322.613281,12.24609375
efficientnetv2,Level 1,in_domain,1000,3.373995,3.373995,296.384553,308.5625,1349.015625,1363.464844,14.44921875
efficientnetv2,Level 1,cross_generator,1000,3.3502975,3.3502975,298.4809558,308.5625,1314.457031,1332.863281,18.40625
vit,Level 1,in_domain,1000,11.6485972,11.6485972,85.84724691,594.1484375,1525.351563,1544.101563,18.75
vit,Level 1,cross_generator,1000,11.6547379,11.6547379,85.80201533,594.1484375,1518.574219,1536.324219,17.75
mobilenetv3,Level 2,in_domain,1000,2.3449749,2.3449749,426.4437969,263.2124023,1159.367188,1224.6875,65.3203125
mobilenetv3,Level 2,cross_generator,1000,2.6386872,2.6386872,378.9763334,263.2124023,1223.453125,1240.492188,17.0390625
resnet50,Level 2,in_domain,1000,3.2535437,3.2535437,307.3571749,435.4301758,1247.445313,1260.601563,13.15625
resnet50,Level 2,cross_generator,1000,4.3713308,4.3713308,228.7632865,435.4301758,1250.585938,1267.308594,16.72265625
efficientnetv2,Level 2,in_domain,1000,3.4155931,3.4155931,292.774921,308.5625,1326.851563,1345.28125,18.4296875
efficientnetv2,Level 2,cross_generator,1000,3.2837436,3.2837436,304.5304755,308.5625,1310.132813,1327.679688,17.546875
vit,Level 2,in_domain,1000,11.4113074,11.4113074,87.63237769,594.1484375,1537.429688,1554.578125,17.1484375
vit,Level 2,cross_generator,1000,11.6312677,11.6312677,85.97515127,594.1484375,1528.371094,1544.976563,16.60546875
mobilenetv3,Level 3,in_domain,1000,2.0317236,2.0317236,492.1929341,263.2124023,1159.003906,1225.15625,66.15234375
mobilenetv3,Level 3,cross_generator,1000,1.5470317,1.5470317,646.3991656,263.2124023,1222.992188,1240.585938,17.59375
resnet50,Level 3,in_domain,1000,3.2099837,3.2099837,311.5280617,435.4301758,1246.480469,1262.53125,16.05078125
resnet50,Level 3,cross_generator,1000,3.2447508,3.2447508,308.1900773,435.4301758,1309.078125,1327.222656,18.14453125
efficientnetv2,Level 3,in_domain,1000,3.3573985,3.3573985,297.8496595,308.5625,1348.5,1365.347656,16.84765625
efficientnetv2,Level 3,cross_generator,1000,3.3458584,3.3458584,298.8769638,308.5625,1350.039063,1363.734375,13.6953125
vit,Level 3,in_domain,1000,11.4358944,11.4358944,87.4439694,594.1484375,1506.703125,1523.542969,16.83984375
vit,Level 3,cross_generator,1000,11.5993709,11.5993709,86.21157204,594.1484375,1526.019531,1544.199219,18.1796875
mobilenetv3,Level 4,in_domain,1000,2.132836999990104,2.132836999990104,468.8590829982037,263.21240234375,1160.8203125,1220.1875,59.3671875
mobilenetv3,Level 4,cross_generator,1000,2.345106599997962,2.345106599997962,426.4198480362765,263.21240234375,1219.96484375,1237.3046875,17.33984375
resnet50,Level 4,in_domain,1000,3.031533600020339,3.031533600020339,329.8660453551598,435.43017578125,1310.81640625,1326.9765625,16.16015625
resnet50,Level 4,cross_generator,1000,3.1924247000351897,3.1924247000351897,313.2415307991374,435.43017578125,1321.33203125,1336.33203125,15.0
efficientnetv2,Level 4,in_domain,1000,3.255483600019943,3.255483600019943,307.1740247728092,308.5625,1353.91796875,1368.85546875,14.9375
efficientnetv2,Level 4,cross_generator,1000,3.266895599976124,3.266895599976124,306.10099692420795,308.5625,1317.0625,1333.0,15.9375
vit,Level 4,in_domain,1000,11.45464180001727,11.45464180001727,87.30085300428095,594.1484375,1526.60546875,1545.1875,18.58203125
vit,Level 4,cross_generator,1000,11.656618699998944,11.656618699998944,85.78817114435515,594.1484375,1547.2578125,1565.66796875,18.41015625
