model,level,condition,accuracy_percent,precision_percent,recall_percent,f1_score_percent,roc_auc_percent
efficientnetv2,Baseline,cross_generator,59.9,55.5431131,99.2,71.2132089,89.992
efficientnetv2,Level 1,cross_generator,57.9,54.326396499999994,99.2,70.20523709999999,88.2384
efficientnetv2,Level 2,cross_generator,61.3,56.471935900000005,98.6,71.813547,73.0492
efficientnetv2,Level 3,cross_generator,73.2,65.93406590000001,96.0,78.17589579999999,88.3836
efficientnetv2,Level 4,cross_generator,70.6,63.30749354005169,98.0,76.92307692307693,88.3464
mobilenetv3,Baseline,cross_generator,56.699999999999996,53.606027999999995,99.6,69.6990903,84.4766
mobilenetv3,Level 1,cross_generator,61.199999999999996,56.39269409999999,98.8,71.8023256,83.9896
mobilenetv3,Level 2,cross_generator,66.2,59.8780488,98.2,74.3939394,81.57799999999999
mobilenetv3,Level 3,cross_generator,77.8,70.6231454,95.19999999999999,81.0902896,91.4388
mobilenetv3,Level 4,cross_generator,78.7,71.51424287856072,95.39999999999999,81.74807197943444,92.33879999999999
resnet50,Baseline,cross_generator,63.3,57.759626600000004,99.0,72.9550479,88.133
resnet50,Level 1,cross_generator,75.8,67.768595,98.4,80.2610114,90.7428
resnet50,Level 2,cross_generator,64.0,58.235294100000004,99.0,73.3333333,85.0604
resnet50,Level 3,cross_generator,76.8,69.3641618,96.0,80.53691280000001,91.3432
resnet50,Level 4,cross_generator,70.6,63.171355498721226,98.8,77.06708268330733,92.22120000000001
vit,Baseline,cross_generator,60.6,56.294536799999996,94.8,70.6408346,79.1424
vit,Level 1,cross_generator,64.3,58.5017836,98.4,73.3780761,86.7942
vit,Level 2,cross_generator,68.7,61.6729089,98.8,75.9415834,87.2776
vit,Level 3,cross_generator,70.6,63.2390746,98.4,76.99530519999999,69.7048
vit,Level 4,cross_generator,66.60000000000001,60.048426150121074,99.2,74.81146304675717,82.3892
efficientnetv2,Baseline,in_domain,98.6,98.0237154,99.2,98.60834990000001,99.8616
efficientnetv2,Level 1,in_domain,99.0,99.1967871,98.8,98.997996,99.8388
efficientnetv2,Level 2,in_domain,98.3,98.0119284,98.6,98.3050847,99.8708
efficientnetv2,Level 3,in_domain,97.0,98.7551867,95.19999999999999,96.9450102,99.7008
efficientnetv2,Level 4,in_domain,97.89999999999999,98.38383838383838,97.39999999999999,97.8894472361809,99.7876
mobilenetv3,Baseline,in_domain,98.2,97.62845850000001,98.8,98.21073559999999,99.7408
mobilenetv3,Level 1,in_domain,97.5,98.1744422,96.8,97.4823766,99.7112
mobilenetv3,Level 2,in_domain,98.0,98.3870968,97.6,97.99196789999999,99.7484
mobilenetv3,Level 3,in_domain,96.0,97.9166667,94.0,95.9183673,99.2132
mobilenetv3,Level 4,in_domain,96.2,97.72727272727272,94.6,96.13821138211384,99.4984
resnet50,Baseline,in_domain,98.6,98.6,98.6,98.6,99.79860000000001
resnet50,Level 1,in_domain,97.39999999999999,98.7654321,96.0,97.3630832,99.7688
resnet50,Level 2,in_domain,98.9,98.60834990000001,99.2,98.90329009999999,99.8904
resnet50,Level 3,in_domain,96.89999999999999,98.5507246,95.19999999999999,96.8463886,99.6292
resnet50,Level 4,in_domain,98.1,97.8131212723658,98.4,98.10568295114656,99.758
vit,Baseline,in_domain,96.0,97.1311475,94.8,95.951417,99.558
vit,Level 1,in_domain,97.0,96.6269841,97.39999999999999,97.0119522,99.5704
vit,Level 2,in_domain,97.39999999999999,97.5903614,97.2,97.3947896,99.4584
vit,Level 3,in_domain,98.3,98.5915493,98.0,98.2948847,99.7432
vit,Level 4,in_domain,98.8,98.60557768924303,99.0,98.80239520958084,99.8828
