model,level,condition,TN,FP,FN,TP
efficientnetv2,Baseline,cross_generator,103.0,397.0,4.0,496.0
efficientnetv2,Level 1,cross_generator,83.0,417.0,4.0,496.0
efficientnetv2,Level 2,cross_generator,120.0,380.0,7.0,493.0
efficientnetv2,Level 3,cross_generator,252.0,248.0,20.0,480.0
efficientnetv2,Level 4,cross_generator,216.0,284.0,10.0,490.0
mobilenetv3,Baseline,cross_generator,69.0,431.0,2.0,498.0
mobilenetv3,Level 1,cross_generator,118.0,382.0,6.0,494.0
mobilenetv3,Level 2,cross_generator,171.0,329.0,9.0,491.0
mobilenetv3,Level 3,cross_generator,302.0,198.0,24.0,476.0
mobilenetv3,Level 4,cross_generator,310.0,190.0,23.0,477.0
resnet50,Baseline,cross_generator,138.0,362.0,5.0,495.0
resnet50,Level 1,cross_generator,266.0,234.0,8.0,492.0
resnet50,Level 2,cross_generator,145.0,355.0,5.0,495.0
resnet50,Level 3,cross_generator,288.0,212.0,20.0,480.0
resnet50,Level 4,cross_generator,212.0,288.0,6.0,494.0
vit,Baseline,cross_generator,132.0,368.0,26.0,474.0
vit,Level 1,cross_generator,151.0,349.0,8.0,492.0
vit,Level 2,cross_generator,193.0,307.0,6.0,494.0
vit,Level 3,cross_generator,214.0,286.0,8.0,492.0
vit,Level 4,cross_generator,170.0,330.0,4.0,496.0
efficientnetv2,Baseline,in_domain,490.0,10.0,4.0,496.0
efficientnetv2,Level 1,in_domain,496.0,4.0,6.0,494.0
efficientnetv2,Level 2,in_domain,490.0,10.0,7.0,493.0
efficientnetv2,Level 3,in_domain,494.0,6.0,24.0,476.0
efficientnetv2,Level 4,in_domain,492.0,8.0,13.0,487.0
mobilenetv3,Baseline,in_domain,488.0,12.0,6.0,494.0
mobilenetv3,Level 1,in_domain,491.0,9.0,16.0,484.0
mobilenetv3,Level 2,in_domain,492.0,8.0,12.0,488.0
mobilenetv3,Level 3,in_domain,490.0,10.0,30.0,470.0
mobilenetv3,Level 4,in_domain,489.0,11.0,27.0,473.0
resnet50,Baseline,in_domain,493.0,7.0,7.0,493.0
resnet50,Level 1,in_domain,494.0,6.0,20.0,480.0
resnet50,Level 2,in_domain,493.0,7.0,4.0,496.0
resnet50,Level 3,in_domain,493.0,7.0,24.0,476.0
resnet50,Level 4,in_domain,489.0,11.0,8.0,492.0
vit,Baseline,in_domain,486.0,14.0,26.0,474.0
vit,Level 1,in_domain,483.0,17.0,13.0,487.0
vit,Level 2,in_domain,488.0,12.0,14.0,486.0
vit,Level 3,in_domain,493.0,7.0,10.0,490.0
vit,Level 4,in_domain,493.0,7.0,5.0,495.0
